subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,3,1,25,6,6,1,,,0.1976,0.0
1,1,3,1,26,2,3,0,,,0.7484,0.0
1,1,3,1,27,6,5,0,,,0.215,0.0
1,1,3,1,28,4,6,0,,,0.2795,0.0
1,1,3,1,29,1,6,0,,,0.0857,0.0
1,1,3,1,30,5,3,0,,,0.5401,0.0
1,1,3,1,31,4,4,1,,,0.6873,0.0
1,1,3,1,32,3,3,1,,,0.4977,0.0
1,1,3,1,33,4,3,0,,,1.1317,0.0
1,1,3,1,34,1,1,1,,,0.5504,0.0
1,1,3,1,35,2,3,0,,,0.4462,0.0
1,1,3,1,36,6,6,1,,,0.2772,0.0
1,1,3,1,37,2,2,1,,,0.616,0.0
1,1,3,1,38,4,3,0,,,0.5251,0.0
1,1,3,1,39,4,2,0,,,1.2167,0.0
1,1,3,1,40,4,3,0,,,0.5361,0.0
1,1,3,1,41,1,3,0,4,0,0.5242,0.5374
1,1,3,1,42,3,3,1,,,0.4296,0.0
1,1,3,1,43,2,2,1,,,0.3299,0.0
1,1,3,1,44,1,1,1,,,0.6508,0.0
1,1,3,1,45,6,6,1,,,0.1259,0.0
1,1,3,1,46,5,5,1,,,0.3108,0.0
1,1,3,1,47,3,2,0,,,0.3921,0.0
1,1,3,1,48,6,6,1,,,0.1292,0.0
1,1,3,1,49,1,4,0,,,1.098,0.0
1,1,3,1,50,3,3,1,,,0.6303,0.0
1,1,3,2,1,3,6,0,,,0.1684,0.0
1,1,3,2,2,3,2,0,4,0,0.5389,0.8243
1,1,3,2,3,1,1,1,,,0.4166,0.0
1,1,3,2,4,2,2,1,,,0.3974,0.0
1,1,3,2,5,4,3,0,,,0.5715,0.0
1,1,3,2,6,1,4,0,,,0.5416,0.0
1,1,3,2,7,4,6,0,,,0.2574,0.0
1,1,3,2,8,4,5,0,,,0.1926,0.0
1,1,3,2,9,2,2,1,,,0.2421,0.0
1,1,3,2,10,6,3,0,4,0,0.4378,0.6314
1,1,3,2,11,1,1,1,,,0.4227,0.0
1,1,3,2,12,3,3,1,,,0.3884,0.0
1,1,3,2,13,6,2,0,,,0.4029,0.0
1,1,3,2,14,4,4,1,,,0.8761,0.0
1,1,3,2,15,2,3,0,2,1,0.5337,0.5626
1,1,3,2,16,4,5,0,6,0,0.3457,0.4625
1,1,3,2,17,3,3,1,,,0.6935,0.0
1,1,3,2,18,1,1,1,,,0.3751,0.0
1,1,3,2,19,5,4,0,2,0,1.6064,0.6155
1,1,3,2,20,4,4,1,,,0.6797,0.0
1,1,3,2,21,2,2,1,,,0.6502,0.0
1,1,3,2,22,5,5,1,,,0.5256,0.0
1,1,3,2,23,5,2,0,,,0.7097,0.0
1,1,3,2,24,4,4,1,,,0.6577,0.0
1,1,3,2,25,6,2,0,,,1.349,0.0
1,1,3,2,26,3,2,0,3,1,0.5355,0.7888
1,1,3,2,27,2,6,0,4,0,0.1786,1.5669
1,1,3,2,28,3,1,0,,,0.9043,0.0
1,1,3,2,29,2,2,1,,,0.4443,0.0
1,1,3,2,30,6,6,1,,,0.7282,0.0
1,1,3,2,31,1,1,1,,,0.7123,0.0
1,1,3,2,32,3,3,1,,,1.4653,0.0
1,1,3,2,33,6,6,1,,,0.5232,0.0
1,1,3,2,34,1,1,1,,,0.5801,0.0
1,1,3,2,35,4,2,0,,,0.3301,0.0
1,1,3,2,36,5,5,1,,,0.3905,0.0
1,1,3,2,37,6,1,0,,,1.1727,0.0
1,1,3,2,38,2,2,1,,,0.3185,0.0
1,1,3,2,39,3,1,0,,,1.3601,0.0
1,1,3,2,40,6,6,1,,,0.5613,0.0
1,1,3,2,41,2,2,1,,,0.4886,0.0
1,1,3,2,42,5,5,1,,,0.2588,0.0
1,1,3,2,43,6,6,1,,,0.1182,0.0
1,1,3,2,44,1,6,0,,,0.1596,0.0
1,1,3,2,45,5,5,1,,,0.1946,0.0
1,1,3,2,46,5,5,1,,,0.4249,0.0
